time,X,Y,Z,CovXX,CovXY,CovXZ,CovXYaw,CovYX,CovYY,CovYZ,CovYYaw,CovZX,CovZY,CovZZ,CovZYaw,CovYawX,CovYawY,CovYawZ,CovYawYaw,InnovX,InnovY,InnovZ
5.93,-0.02953265549290009,-0.00020376399350480363,-80.09924864755448,0.06597184477533981,0.00697215617821285,0.0,0.052795309460962475,0.006972156178212849,0.017156617739402316,0.0,0.020965370790928722,0.0,0.0,0.04099834943523259,0.0,0.05279530946096246,0.020965370790928722,0.0,0.9493628172524312,0.00039688073608856733,0.00039688073608856733,0.00039688073608856733
6.09,-0.028904069445318814,0.009963938417561376,-80.1047839937857,0.009364441170917854,0.013670755851434752,0.0,0.010588044360697706,0.01367075585143475,0.023256966767269648,0.0,0.018412522430506652,0.0,0.0,0.024747053720975746,0.0,0.010588044360697697,0.01841252243050665,0.0,0.973337605575236,8.06249993155761e-06,8.06249993155761e-06,8.06249993155761e-06
6.23,-0.039107927456084,0.015279358340155133,-80.10996078595348,0.016963335477721136,0.013240708214089299,0.0,-0.026363479170257893,0.013240708214089297,0.029982583336141427,0.0,0.008482527358636823,0.0,0.0,0.031747053720975776,0.0,-0.0263634791702579,0.00848252735863682,0.0,1.0033376055752359,1.69722827140506e-05,1.69722827140506e-05,1.69722827140506e-05
6.39,-0.04909195050469814,0.0022787908593347884,-80.10194484258335,0.02730244247855277,0.013379754007535495,0.0,0.055153848926066264,0.013379754007535495,0.03791318782766152,0.0,-0.0015251711622467114,0.0,0.0,0.03974705372097574,0.0,0.05515384892606626,-0.0015251711622467148,0.0,1.033337605575236,2.7375308822547018e-05,2.7375308822547018e-05,2.7375308822547018e-05
6.53,-0.053408889951337774,0.001295116547371044,-80.11464565988541,0.014458408159875893,-0.012256858073976144,0.0,0.03857842988534514,-0.01225685807397615,0.012128761320622577,0.0,-0.033973772251983274,0.0,0.0,0.02415941980817165,0.0,0.038578429885345135,-0.03397377225198327,0.0,1.0349439267809863,1.3737475955566403e-05,1.3737475955566403e-05,1.3737475955566403e-05
6.67,-0.062134688936154744,-0.001690138878483641,-80.11444035404384,0.023574653057828923,-0.013510712593106593,0.0,0.06065055694003348,-0.0135107125931066,0.019800564928527786,0.0,-0.04300577013635143,0.0,0.0,0.031159419808171634,0.0,0.060650556940033476,-0.043005770136351415,0.0,1.0649439267809864,9.994559168624573e-05,9.994559168624573e-05,9.994559168624573e-05
6.83,-0.06404762484058704,-0.008346487710431881,-80.09966004349701,0.03846431887501001,-0.015500876685122733,0.0,0.1049552181965899,-0.015500876685122742,0.027969194355646067,0.0,-0.04504527887922173,0.0,0.0,0.03915941980817164,0.0,0.1049552181965899,-0.04504527887922172,0.0,1.0949439267809864,0.00010042520177683256,0.00010042520177683256,0.00010042520177683256
6.99,-0.061327931028067724,-0.01365436125168457,-80.10574984413024,0.05463252396582205,-0.016611333097113413,0.0,0.14127747302234692,-0.016611333097113424,0.035732521197801195,0.0,-0.042070575376295216,0.0,0.0,0.04715941980817165,0.0,0.14127747302234692,-0.0420705753762952,0.0,1.1249439267809864,-1.3853256992657492e-06,-1.3853256992657492e-06,-1.3853256992657492e-06
7.13,-0.06519175957160052,-0.0038967707117372225,-80.10344043650399,0.03292260395370595,-0.027156879181970725,0.0,0.05619286435118588,-0.027156879181970732,0.024049036383423896,0.0,-0.0475340767302062,0.0,0.0,0.025998330207635558,0.0,0.05619286435118588,-0.047534076730206196,0.0,1.1483253929278172,7.50962580021719e-05,7.50962580021719e-05,7.50962580021719e-05
7.27,-0.05769920706469159,0.003085000143695751,-80.1100465700716,0.03717382391128727,-0.024794551738073274,0.0,-0.0010696175523174298,-0.024794551738073285,0.030401467862104865,0.0,-0.03893416332607886,0.0,0.0,0.03299833020763554,0.0,-0.0010696175523174298,-0.03893416332607885,0.0,1.1783253929278172,4.7313940570559154e-05,4.7313940570559154e-05,4.7313940570559154e-05
7.43,-0.05995396258311007,-0.009863346248521445,-80.1040587012234,0.05271768876928082,-0.028157645728603853,0.0,0.09428823683099508,-0.028157645728603863,0.03858275722191473,0.0,-0.04158710052448198,0.0,0.0,0.04099833020763555,0.0,0.09428823683099508,-0.041587100524481974,0.0,1.2083253929278173,0.00013229892847999025,0.00013229892847999025,0.00013229892847999025
7.58,-0.06349129474413565,-0.006421918476063471,-80.11557253824007,0.00224915563097112,0.0056285904064219405,0.0,8.861133733334414e-05,0.005628590406421935,0.025983471044589625,0.0,-0.004381576748728182,0.0,0.0,0.024747048816312463,0.0,8.861133733334761e-05,-0.004381576748728175,0.0,1.1535444400224244,-1.9695188294283072e-06,-1.9695188294283072e-06,-1.9695188294283072e-06
7.73,-0.08001912837148999,-0.00856714697093075,-80.1207013221549,0.009523001476106234,0.0052676388115315215,0.0,0.017773609764139702,0.005267638811531516,0.03344346829706286,0.0,-0.02344835789178106,0.0,0.0,0.03174704881631249,0.0,0.017773609764139706,-0.023448357891781055,0.0,1.1835444400224244,-7.564265401410752e-07,-7.564265401410752e-07,-7.564265401410752e-07
