time,X,Y,Z
5.79,-0.03647673983343015,0.001994970020249541,-80.15810962610705
5.93,-0.02441383216246823,0.0038952119554118616,-80.16598284540922
6.09,-0.023823827765630873,0.013426975817648252,-80.1734632018655
6.23,-0.03475765819220214,0.019119907643960342,-80.1790097649024
6.39,-0.04411926017978984,0.006933089474884616,-80.17149481799291
6.53,-0.04874501261495233,0.0058798641112846545,-80.1861620060269
6.6899999999999995,-0.058093485136187686,0.002679629281656419,-80.18594203548236
6.83,-0.059887126582307194,-0.0035606218623006423,-80.17208549434471
6.99,-0.057336847902493354,-0.008536463392731265,-80.17779468243836
7.13,-0.06148184912080026,0.0019216581157349057,-80.17853762095758
7.29,-0.05345289582331171,0.009400819064848666,-80.1856156212086
7.43,-0.055569235213467245,-0.0027378190139698225,-80.1800019941634
7.57,-0.05888605702259475,0.00048809371459008783,-80.18334984042258
7.73,-0.0754138695908744,-0.0016572970229002215,-80.1884786243374
7.89,-0.08677141600123503,-0.01885771304395441,-80.19196250453426
8.03,-0.08951467996158276,-0.018864930708937626,-80.20063903223433
8.19,-0.08160743737543578,-0.020537482524524878,-80.20715532265577
8.33,-0.06508397676099419,-0.009413953058222468,-80.20245010850115
8.49,-0.03855487154402719,-0.0018290780831976255,-80.19928203033855
8.63,-0.004825643299118748,-0.008269680460575222,-80.2050233489611
8.77,0.04322573210699856,0.011301984857081351,-80.21536664413215
8.93,0.0917677890854941,0.009418709014771095,-80.21883712246901
9.09,0.1581408389358276,0.026416785340298052,-80.21848332495415
9.23,0.2186537094326011,0.026219518150282783,-80.2331329244266
9.39,0.28083818221802453,0.01732776531180131,-80.2206911566101
9.53,0.36342103324021474,0.018942651707464248,-80.23221816526902
9.67,0.4395189639503352,0.021217816726630985,-80.23685147342158
9.83,0.525661484835036,0.01842615171518479,-80.24010209145148
9.99,0.603862262403957,0.016081563233062392,-80.25185721929027
10.13,0.6856029811909283,0.008834037313649915,-80.25492310386497
10.29,0.7676392498440149,-0.003525328274282799,-80.26807020672646
10.43,0.8480599362902993,-0.005175580602662093,-80.26543511311982
10.59,0.9390064561962305,-0.0021235909722855896,-80.2816573925621
10.73,1.0257764969215049,-0.0006180545588400877,-80.28032032582318
10.89,1.127816342430291,0.009258171079544918,-80.27918478114249
11.03,1.210525405793469,0.007500022248845337,-80.2771257758904
11.19,1.2979792920123316,0.0034490733225253983,-80.28903876324992
11.33,1.390491934463303,0.007282634326573931,-80.291878690478
11.47,1.4836117512590066,-0.0007357890497632046,-80.30706227084191
11.63,1.5721383342575488,0.01331519917081317,-80.3075491381482
11.79,1.6618156272005418,0.005851294094672722,-80.29953710513095
11.93,1.7512585421507794,0.004193850522597037,-80.30324257643385
12.09,1.8409972972120607,-0.0030636515892954715,-80.29218383557516
12.23,1.9320157185510596,0.003640583691313355,-80.29454666986909
12.39,2.0288069626119642,0.01890231390517276,-80.2929074631026
12.53,2.1131169522656963,0.028286119511037693,-80.30433719575691
12.67,2.1886486901013913,0.031814320949663154,-80.3109305941903
12.83,2.2811382791569828,0.04214694608850922,-80.30740382387278
12.99,2.3717057810876434,0.044582515384634196,-80.30512328632028
13.13,2.448038386971962,0.045118486045246535,-80.30261621169927
13.27,2.5289022845168914,0.04577835328535848,-80.30532280402448
13.43,2.606715388152512,0.04982822055333365,-80.31397250498318
13.59,2.6792932585174416,0.05985968393401579,-80.32857059841649
13.73,2.756411497981226,0.06648037234806428,-80.33283939863269
13.89,2.8529131438774713,0.07194021881203566,-80.33198502946765
14.03,2.9428441074931793,0.07317351686178473,-80.32713689195741
14.19,3.027660461309782,0.08822694204629303,-80.33183579101161
14.33,3.1188744809443687,0.09302857191398381,-80.33014152892265
14.49,3.2119666983718296,0.10168709115354495,-80.34091599832237
14.63,3.300398300798682,0.09034786977338288,-80.35038664441197
14.79,3.39057448413899,0.09274874384452882,-80.35055684715387
14.93,3.472529072964525,0.09106883439437677,-80.35442353793631
15.09,3.5645504776363026,0.08301753856434543,-80.35554839345272
15.23,3.653597070422214,0.07953751371312517,-80.34550293098401
15.39,3.7407885327758637,0.08424014478531378,-80.33010493147297
15.53,3.830463485848935,0.08639915656758408,-80.3335070409804
15.69,3.9193902812026193,0.07980150070734349,-80.32779790460782
15.83,4.001008321434221,0.06561172398641159,-80.32711692189444
15.97,4.088966120912934,0.06011116625086419,-80.32908649010776
16.13,4.191784321363378,0.0583262197278186,-80.34244616961365
16.29,4.294743046213352,0.052740328461117265,-80.34326120120267
16.43,4.3832538502839835,0.03712114321804309,-80.34395620201927
16.59,4.462528163489004,0.040600332788855865,-80.34913037622404
16.73,4.5470726178275305,0.035283733717706746,-80.33962381816607
16.87,4.637359871388893,0.04084067313341783,-80.34443060248657
17.03,4.72454996548444,0.030883567485741475,-80.35346604587922
17.19,4.820489788516282,0.035156096784222296,-80.35839776971986
17.33,4.903499587200942,0.027282063705960802,-80.35732487955026
17.49,4.993676872954655,0.023713459177056584,-80.36928809796439
17.63,5.081048315503302,0.02766780193205909,-80.35743385835994
17.79,5.167114400648097,0.03666278838588042,-80.36010410224196
17.93,5.255971443912431,0.037698569482093505,-80.35660934689012
18.09,5.345705887308436,0.028049141463950683,-80.36026153563807
18.23,5.453466276615789,0.01650875192600875,-80.35193797326589
18.39,5.534175324586607,0.019155091681851755,-80.35004005267164
18.53,5.621842100624341,0.005632452901113834,-80.35298024862155
18.69,5.7197991034396605,0.012105268598402979,-80.37020006184999
18.83,5.804357922553921,0.00791028114678069,-80.37011409167069
18.98,5.881641984988794,0.004447949067704276,-80.36915335687385
